504000,Elpro International Ltd.,ELPROINTL,INE579B01039
504028,GEE Ltd.,GEE,INE064H01021
504036,Hind Rectifiers Ltd.,HIRECT,INE835D01023
504058,Indo National Limited,NIPPOBATRY,INE567A01028
504067,Zensar Technologies Ltd.,ZENSARTECH,INE520A01027
504076,Jyoti Ltd.,JYOTI,INE511D01012
504080,JSL Industries Ltd.,JSLINDL,INE581L01018
504084,Kaycee Industries Ltd.,KAYCEEI,INE813G01015
504092,Indokem Ltd,INDOKEM,INE716F01012
504093,Panasonic Energy India Co. Ltd.,PANAENERG,INE795A01017
504112,Nelco Ltd,NELCO,INE045B01015
504132,Permanent Magnets Ltd.,PERMAGN,INE418E01018
504176,High Energy Batteries (India) Ltd.,HIGHENE,INE783E01023
504180,Standard Batteries Ltd.,STDBAT,INE502C01039
504212,Universal Cables Ltd.,UNIVCABLES,INE279A01012
504220,W.S. Industries (India) Ltd.,WSI,INE100D01014
504240,Delton Cables Ltd.,DLTNCBL,INE872E01016
504258,Lakshmi Electrical Control Systems,LAKSELEC,INE284C01018
504273,MODULEX CONSTRUCTION TECHNOLOGIES LIMITED,MODULEX,INE064R01012
504286,DELTA MANUFACTURING LIMITED ,DELTAMAGNT,INE393A01011
504340,Confidence Finance And Trading Limited,CONFINT,INE180M01033
504341,RAVINDRA ENERGY LIMITED,RELTD,INE206N01018
504351,Empower India Limited,EMPOWER,INE507F01023
504356,Multipurpose Trading & Agencies Ltd,ZMULTIPU,INE017P01014
504378,Nyssa Corporation Limited,NYSSACORP,INE812K01027
504380,FLOMIC GLOBAL LOGISTICS LIMITED,FLOMIC,INE952M01019
504392,Krishna Ventures Limited,KRISHNA,INE537L01010
504397,Ganesh Holding Ltd.,GANHOLD,INE932M01011
504605,Uni-Abex Alloy Products Ltd.,UNIABEXAL,INE361D01012
504614,Sarda Energy & Minerals Ltd,SARDAEN,INE385C01021
504646,Bhagwati Autocast Limited,BGWTATO,INE106G01014
504648,Bombay Wire Ropes Ltd.,BOMBWIR,INE089T01023
504731,Indian Bright Steel Co. Ltd.,IBRIGST,INE566M01017
504741,Indian Hume Pipe Co. Ltd.,INDIANHUME,INE323C01030
504786,Investment & Precision Castings Ltd,INVPRECQ,INE155E01016
504810,Informed Technologies India Ltd.,INFORTEC,INE123E01014
504840,Kaira Can Co. Ltd.,KAIRA,INE375D01012
504879,ORIENT CERATECH LIMITED,ORIENTCER,INE569C01020
504882,National Standard (India) Limited,NATIONSTD,INE166R01015
504903,Rathi Steel & Power Ltd,RATHIST,INE336C01016
504908,Duncan Engineering Limited,DUNCANENG,INE340F01011
504918,Sandur Manganese & Iron Ores Ltd.,SANDUMA,INE149K01016
504959,Stovec Industries Ltd.,STOVACQ,INE755D01015
504961,Tayo Rolls Ltd.,TATAYODOGA,INE895C01011
504973,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,CHOLAHLDNG,INE149A01033
504988,Welcast Steels Ltd.,ZWELCAST,INE380G01015
505010,Automotive Axles Ltd.,AUTOAXLES,INE449A01011
505036,Automobile Corpn. of Goa Ltd.,ACGL,INE451C01013
505075,Setco Automotive Limited,SETCO,INE878E01021
505141,Scooters India Ltd.,SCOOTER,INE959E01011
505160,Talbros Automotive Components Ltd.,TALBROAUTO,INE187D01029
505163,Z.F. Steering Gear (India) Limited,ZFSTEERING,INE116C01012
505192,SML ISUZU LIMITED,SMLISUZU,INE294B01019
505196,TIL Ltd.,TIL,INE806C01018
505200,Eicher Motors Ltd.,EICHERMOT,INE066A01021
505212,JAINEX AAMCOL LTD.,JAINEX,INE280F01019
505216,Alfred Herbert (India) Ltd.,ALFREDHE,INE782D01027
505232,Veljan Denison Limited,VELJAN,INE232E01013
505242,Dynamatic Technologies Ltd.,DYNAMATECH,INE221B01012
505250,G. G. Dandekar Properties Limited,GGDPROP,INE631D01026
505255,GMM Pfaudler Ltd.,GMMPFAUDLR,INE541A01023
505283,Kirloskar Pneumatic Co.Ltd.,KIRLPNU,INE811A01020
505285,Tulive Developers Limited,TULIVE,INE637D01015
505299,KPT INDUSTRIES LIMITED,KPT,INE731D01024
505302,Lakshmi Automatic Loom Works Ltd.,LXMIATO,INE718M01022
505324,Manugraph India Ltd,MANUGRAPH,INE867A01022
505343,Monotype India Ltd.,MONOT,INE811D01024
505355,Nesco Ltd,NESCO,INE317F01035
505358,Integra Engineering India Ltd.,INTEGRAEN,INE984B01023
505368,SEMAC CONSULTANTS LIMITED,SEMAC,INE617A01013
505400,Texmaco Infrastructure & Holdings Ltd,TEXINFRA,INE435C01024
505412,Wendt (India) Ltd.,WENDT,INE274C01019
505509,Responsive Industries Ltd,RESPONIND,INE688D01026
505515,Shyamkamal Investments Ltd.,SHYMINV,INE203N01015
505523,Maharashtra Corporation Ltd.,MAHACORP,INE272E01027
505526,DOLAT ALGOTECH LIMITED,DOLATALGO,INE966A01022
505533,WESTLIFE FOODWORLD LIMITED,WESTLIFE,INE274F01020
505537,Zee Entertainment Enterprises Ltd.,ZEEL,INE256A01028
505590,SVP GLOBAL TEXTILES LIMITED,SVPGLOB,INE308E01029
505650,Skyline Millars Ltd,SKYLMILAR,INE178E01026
505681,Bimetal Bearings Ltd,BIMETAL,INE469A01019
505688,Bharat Gears Ltd.,BHARATGEAR,INE561C01019
505690,Brady & Morris Engineering Co. Ltd.,BRADYM,INE856A01017
505693,La Tim Metal & Industries Limited,LATIMMETAL,INE501N01020
505700,Elecon Engineering Co.Ltd.,ELECON,INE205B01023
505703,Deccan Bearings Ltd.,DECANBRG,INE498D01012
505710,Grauer & Weil (India) Ltd.,GRAUWEIL,INE266D01021
505712,HIM TEKNOFORGE LIMITED,HIMTEK,INE705G01021
505714,Gabriel India Ltd.,GABRIEL,INE524A01029
505720,Hercules Hoists Ltd.,HERCULES,INE688E01024
505725,ALGOQUANT FINTECH LIMITED,AQFINTECH,INE598D01027
505726,IFB Industries Limited,IFBIND,INE559A01017
505729,Singer India Limited,SINGER,INE638A01035
505737,International Combustion (India) Lt,INTLCOMBQ,INE403C01014
505744,Federal-Mogul Goetze (India) Ltd,FMGOETZE,INE529A01010
505750,Josts Engineering Co. Ltd.,JOSTS,INE636D01033
505790,Schaeffler India Limited,SCHAEFFLER,INE513A01022
505797,Mipco Seamless Rings (Gujarat) Ltd.,MPCOSEMB,INE860N01012
